cn_no,lr_no,booking_no,trip_no,client_id,vehicle_id,driver_id,branch_id,origin_city,dest_city,origin_addr,dest_addr,weight_t,freight,dispatch_date,expected_delivery,delivered_date,parent_cn_no,status
CN-90735,LR-8735,BKG-4453,TRP-2335,CUST-0152,VEH-055,EMP-0048,BR-017,Gurugram,Nagpur,"Gate 3, Gurugram","Warehouse, Nagpur",23.6,28800,2026-08-15,2026-08-20,2026-08-20,,Delivered
CN-90736,LR-8736,BKG-4455,TRP-2336,CUST-0059,VEH-058,EMP-0013,BR-009,Kanpur,Delhi,"Gate 3, Kanpur","Warehouse, Delhi",9,9100,2026-08-18,2026-08-22,2026-08-22,,Delivered
CN-90737,LR-8737,BKG-4456,TRP-2337,CUST-0140,VEH-029,EMP-0017,BR-001,Nagpur,Kanpur,"Gate 6, Nagpur","Depot, Kanpur",8,9800,2026-07-05,2026-07-10,2026-07-10,,Delivered
CN-90738,LR-8738,BKG-4457,TRP-2338,CUST-0212,VEH-052,EMP-0032,BR-010,Nashik,Bhopal,"Gate 6, Nashik","Godown, Bhopal",17,16800,2026-07-29,2026-08-03,2026-08-03,,Delivered
CN-90739,LR-8739,BKG-4458,TRP-2339,CUST-0116,VEH-047,EMP-0041,BR-010,Nashik,Kolkata,"Gate 4, Nashik","Warehouse, Kolkata",10.3,20100,2026-08-12,2026-08-14,2026-08-14,,Delivered
CN-90740,LR-8740,BKG-4459,TRP-2340,CUST-0107,VEH-036,EMP-0003,BR-004,Pune,Bengaluru,"Gate 4, Pune","Warehouse, Bengaluru",17.1,20000,2026-08-26,2026-08-28,,,In Prep
CN-90741,LR-8741,BKG-4460,TRP-2341,CUST-0004,VEH-029,EMP-0017,BR-001,Nagpur,Lucknow,"Gate 4, Nagpur","Godown, Lucknow",4.4,6700,2026-08-28,2026-09-01,,,At Hub
CN-90742,LR-8742,BKG-4461,TRP-2342,CUST-0152,VEH-043,EMP-0045,BR-017,Gurugram,Mumbai,"Gate 3, Gurugram","Godown, Mumbai",6.3,11000,2026-07-23,2026-07-25,2026-07-25,,Delivered
CN-90743,LR-8743,BKG-4462,TRP-2343,CUST-0072,VEH-055,EMP-0048,BR-005,Indore,Nagpur,"Gate 3, Indore","Godown, Nagpur",21.1,17700,2026-08-02,2026-08-06,2026-08-06,,Delivered
CN-90744,LR-8744,BKG-4463,TRP-2344,CUST-0006,VEH-013,EMP-0022,BR-012,Lucknow,Raipur,"Gate 3, Lucknow","Depot, Raipur",28.4,29000,2026-08-06,2026-08-11,2026-08-11,,Delivered
CN-90745,LR-8745,BKG-4464,TRP-2345,CUST-0151,VEH-022,EMP-0044,BR-010,Nashik,Delhi,"Gate 2, Nashik","Godown, Delhi",9.9,15100,2026-08-07,2026-08-10,2026-08-10,,Delivered
CN-90746,LR-8746,BKG-4465,TRP-2346,CUST-0010,VEH-061,EMP-0004,BR-012,Lucknow,Kanpur,"Gate 6, Lucknow","Warehouse, Kanpur",5.8,5200,2026-08-06,2026-08-11,2026-08-11,,Delivered
CN-90747,LR-8747,BKG-4466,TRP-2347,CUST-0179,VEH-023,EMP-0023,BR-011,Bhopal,Kanpur,"Gate 4, Bhopal","Godown, Kanpur",17.2,16100,2026-08-07,2026-08-09,2026-08-09,,Delivered
CN-90748,LR-8748,BKG-4467,TRP-2348,CUST-0086,VEH-034,EMP-0042,BR-008,Surat,Nashik,"Gate 1, Surat","Warehouse, Nashik",6.8,6200,2026-07-19,2026-07-23,2026-07-23,,Delivered
CN-90749,LR-8749,BKG-4468,TRP-2349,CUST-0014,VEH-019,EMP-0024,BR-011,Bhopal,Morbi,"Gate 2, Bhopal","Warehouse, Morbi",5.1,7500,2026-07-24,2026-07-26,2026-07-26,,Delivered
CN-90750,LR-8750,BKG-4469,TRP-2350,CUST-0015,VEH-055,EMP-0048,BR-009,Kanpur,Bhopal,"Gate 2, Kanpur","Godown, Bhopal",22.4,20200,2026-08-09,2026-08-14,2026-08-14,,Delivered
CN-90751,LR-8751,BKG-4470,TRP-2351,CUST-0178,VEH-039,EMP-0033,BR-008,Surat,Pune,"Gate 5, Surat","Godown, Pune",4.8,5700,2026-07-13,2026-07-15,2026-07-15,,Delivered
CN-90752,LR-8752,BKG-4471,TRP-2352,CUST-0091,VEH-012,EMP-0010,BR-001,Nagpur,Kolkata,"Gate 4, Nagpur","Godown, Kolkata",13.5,19000,2026-08-28,2026-08-30,,,Dispatched
CN-90753,LR-8753,BKG-4474,TRP-2353,CUST-0208,VEH-029,EMP-0017,BR-009,Kanpur,Pune,"Gate 1, Kanpur","Depot, Pune",15.8,23600,2026-08-14,2026-08-19,2026-08-19,,Delivered
CN-90754,LR-8754,BKG-4475,TRP-2354,CUST-0144,VEH-025,EMP-0047,BR-005,Indore,Mumbai,"Gate 1, Indore","Warehouse, Mumbai",8.3,9400,2026-08-16,2026-08-19,2026-08-19,,Delivered
CN-90755,LR-8755,BKG-4477,TRP-2355,CUST-0193,VEH-006,EMP-0005,BR-016,Bengaluru,Gurugram,"Gate 2, Bengaluru","Warehouse, Gurugram",5.3,12400,2026-08-14,2026-08-19,2026-08-19,,Delivered
CN-90756,LR-8756,BKG-4478,TRP-2356,CUST-0024,VEH-015,EMP-0015,BR-015,Kolkata,Morbi,"Gate 2, Kolkata","Warehouse, Morbi",17.6,36400,2026-08-26,2026-08-28,,,In Prep
CN-90757,LR-8757,BKG-4479,TRP-2357,CUST-0007,VEH-027,EMP-0027,BR-001,Nagpur,Raipur,"Gate 4, Nagpur","Warehouse, Raipur",7.7,7300,2026-08-01,2026-08-04,2026-08-04,,Delivered
CN-90758,LR-8758,BKG-4480,TRP-2358,CUST-0120,VEH-017,EMP-0014,BR-004,Pune,Surat,"Gate 3, Pune","Godown, Surat",12.9,11100,2026-08-08,2026-08-10,2026-08-10,,Delivered
CN-90759,LR-8759,BKG-4481,TRP-2359,CUST-0195,VEH-027,EMP-0035,BR-015,Kolkata,Jaipur,"Gate 1, Kolkata","Godown, Jaipur",21,35100,2026-07-22,2026-07-26,2026-07-26,,Delivered
CN-90760,LR-8760,BKG-4482,TRP-2360,CUST-0184,VEH-008,EMP-0011,BR-013,Ahmedabad,Pune,"Gate 3, Ahmedabad","Godown, Pune",3.4,5400,2026-08-14,2026-08-19,2026-08-19,,Delivered
CN-90761,LR-8761,BKG-4483,TRP-2361,CUST-0056,VEH-011,EMP-0008,BR-005,Indore,Raipur,"Gate 3, Indore","Depot, Raipur",16.1,17400,2026-08-24,2026-08-29,2026-08-29,,Delivered
CN-90762,LR-8762,BKG-4484,TRP-2362,CUST-0019,VEH-026,EMP-0031,BR-010,Nashik,Nagpur,"Gate 3, Nashik","Depot, Nagpur",6.4,8100,2026-08-05,2026-08-07,2026-08-07,,Delivered
CN-90763,LR-8763,BKG-4485,TRP-2363,CUST-0114,VEH-047,EMP-0038,BR-006,Raipur,Bhopal,"Gate 2, Raipur","Warehouse, Bhopal",6.6,7900,2026-08-03,2026-08-08,2026-08-08,,Delivered
CN-90764,LR-8764,BKG-4486,TRP-2364,CUST-0049,VEH-024,EMP-0021,BR-016,Bengaluru,Bhopal,"Gate 3, Bengaluru","Depot, Bhopal",25.9,38000,2026-08-02,2026-08-07,2026-08-07,,Delivered
CN-90765,LR-8765,BKG-4487,TRP-2365,CUST-0214,VEH-049,EMP-0020,BR-014,Hyderabad,Pune,"Gate 2, Hyderabad","Godown, Pune",7.8,9000,2026-08-30,2026-09-01,,,In Prep
CN-90766,LR-8766,BKG-4488,TRP-2366,CUST-0131,VEH-055,EMP-0048,BR-004,Pune,Delhi,"Gate 5, Pune","Depot, Delhi",3.3,7100,2026-08-11,2026-08-14,2026-08-14,,Delivered
CN-90767,LR-8767,BKG-4489,TRP-2367,CUST-0119,VEH-012,EMP-0010,BR-011,Bhopal,Bengaluru,"Gate 3, Bhopal","Godown, Bengaluru",14.1,21900,2026-08-24,2026-08-27,,,Out for Delivery
CN-90768,LR-8768,BKG-4490,TRP-2368,CUST-0208,VEH-059,EMP-0046,BR-009,Kanpur,Kolkata,"Gate 1, Kanpur","Godown, Kolkata",4.4,7700,2026-08-27,2026-08-31,,,In Prep
CN-90769,LR-8769,BKG-4491,TRP-2369,CUST-0160,VEH-015,EMP-0015,BR-015,Kolkata,Lucknow,"Gate 4, Kolkata","Godown, Lucknow",21.5,27300,2026-08-17,2026-08-21,2026-08-21,,Delivered
CN-90770,LR-8770,BKG-4492,TRP-2370,CUST-0154,VEH-060,EMP-0040,BR-011,Bhopal,Nagpur,"Gate 2, Bhopal","Depot, Nagpur",10.2,9100,2026-08-28,2026-09-01,,,Out for Delivery
CN-90771,LR-8771,BKG-4493,TRP-2371,CUST-0114,VEH-033,EMP-0005,BR-006,Raipur,Delhi,"Gate 2, Raipur","Warehouse, Delhi",11.4,16100,2026-08-26,2026-08-29,,,In Transit
CN-90772,LR-8772,BKG-4494,TRP-2372,CUST-0105,VEH-027,EMP-0036,BR-001,Nagpur,Morbi,"Gate 5, Nagpur","Godown, Morbi",18.9,24000,2026-07-21,2026-07-26,2026-07-26,,Delivered
CN-90773,LR-8773,BKG-4495,TRP-2373,CUST-0121,VEH-003,EMP-0009,BR-010,Nashik,Kolkata,"Gate 1, Nashik","Godown, Kolkata",4,9300,2026-07-28,2026-08-01,2026-08-01,,Delivered
CN-90774,LR-8774,BKG-4496,TRP-2374,CUST-0006,VEH-047,EMP-0018,BR-012,Lucknow,Surat,"Gate 3, Lucknow","Godown, Surat",21.4,29900,2026-08-07,2026-08-09,2026-08-09,,Delivered
CN-90775,LR-8775,BKG-4497,TRP-2375,CUST-0160,VEH-059,EMP-0046,BR-015,Kolkata,Lucknow,"Gate 4, Kolkata","Depot, Lucknow",13.9,18500,2026-07-11,2026-07-15,2026-07-15,,Delivered
CN-90776,LR-8776,BKG-4499,TRP-2376,CUST-0093,VEH-034,EMP-0029,BR-001,Nagpur,Gurugram,"Gate 2, Nagpur","Depot, Gurugram",9.4,13000,2026-08-26,2026-08-29,,,At Hub
CN-90777,LR-8777,BKG-4501,TRP-2377,CUST-0067,VEH-009,EMP-0019,BR-004,Pune,Nagpur,"Gate 1, Pune","Depot, Nagpur",23.6,24400,2026-07-14,2026-07-16,2026-07-16,,Delivered
CN-90778,LR-8778,BKG-4502,TRP-2378,CUST-0157,VEH-023,EMP-0023,BR-006,Raipur,Bengaluru,"Gate 6, Raipur","Depot, Bengaluru",20.7,28600,2026-08-14,2026-08-17,2026-08-17,,Delivered
CN-90779,LR-8779,BKG-4503,TRP-2379,CUST-0002,VEH-016,EMP-0028,BR-014,Hyderabad,Bengaluru,"Gate 5, Hyderabad","Warehouse, Bengaluru",8.9,9800,2026-07-04,2026-07-06,2026-07-06,,Delivered
CN-90780,LR-8780,BKG-4504,TRP-2380,CUST-0017,VEH-042,EMP-0042,BR-013,Ahmedabad,Jaipur,"Gate 3, Ahmedabad","Depot, Jaipur",13,13700,2026-08-15,2026-08-19,2026-08-19,,Delivered
CN-90781,LR-8781,BKG-4505,TRP-2381,CUST-0116,VEH-003,EMP-0009,BR-010,Nashik,Delhi,"Gate 4, Nashik","Godown, Delhi",5.9,10000,2026-08-23,2026-08-28,2026-08-28,,Delivered
CN-90782,LR-8782,BKG-4506,TRP-2382,CUST-0050,VEH-015,EMP-0015,BR-014,Hyderabad,Nashik,"Gate 1, Hyderabad","Depot, Nashik",12.7,13800,2026-08-13,2026-08-18,2026-08-18,,Delivered
CN-90783,LR-8783,BKG-4507,TRP-2383,CUST-0061,VEH-014,EMP-0002,BR-011,Bhopal,Jaipur,"Gate 5, Bhopal","Depot, Jaipur",6.7,7700,2026-08-17,2026-08-20,2026-08-20,,Delivered
CN-90784,LR-8784,BKG-4508,TRP-2384,CUST-0208,VEH-060,EMP-0042,BR-009,Kanpur,Bhopal,"Gate 1, Kanpur","Warehouse, Bhopal",11.6,11700,2026-08-28,2026-09-02,,,In Transit
CN-90785,LR-8785,BKG-4510,TRP-2385,CUST-0061,VEH-001,EMP-0004,BR-011,Bhopal,Lucknow,"Gate 5, Bhopal","Warehouse, Lucknow",4.7,6500,2026-08-22,2026-08-26,2026-08-26,,Delivered
CN-90786,LR-8786,BKG-4511,TRP-2386,CUST-0209,VEH-032,EMP-0039,BR-011,Bhopal,Nashik,"Gate 2, Bhopal","Warehouse, Nashik",11.7,12400,2026-07-30,2026-08-02,2026-08-02,,Delivered
CN-90787,LR-8787,BKG-4512,TRP-2387,CUST-0073,VEH-033,EMP-0026,BR-004,Pune,Indore,"Gate 4, Pune","Warehouse, Indore",6.1,7600,2026-07-12,2026-07-17,2026-07-17,,Delivered
CN-90788,LR-8788,BKG-4513,TRP-2388,CUST-0205,VEH-036,EMP-0039,BR-001,Nagpur,Gurugram,"Gate 3, Nagpur","Godown, Gurugram",15.1,19300,2026-08-03,2026-08-06,2026-08-06,,Delivered
CN-90789,LR-8789,BKG-4514,TRP-2389,CUST-0140,VEH-031,EMP-0038,BR-001,Nagpur,Gurugram,"Gate 6, Nagpur","Godown, Gurugram",15.8,20100,2026-08-28,2026-09-02,,,In Prep
CN-90790,LR-8790,BKG-4515,TRP-2390,CUST-0120,VEH-013,EMP-0022,BR-004,Pune,Kanpur,"Gate 3, Pune","Godown, Kanpur",21.2,30900,2026-07-18,2026-07-22,2026-07-22,,Delivered
CN-90791,LR-8791,BKG-4516,TRP-2391,CUST-0172,VEH-009,EMP-0019,BR-013,Ahmedabad,Kanpur,"Gate 1, Ahmedabad","Warehouse, Kanpur",6.6,10000,2026-08-29,2026-09-03,,,Out for Delivery
CN-90792,LR-8792,BKG-4517,TRP-2392,CUST-0169,VEH-022,EMP-0044,BR-008,Surat,Kanpur,"Gate 3, Surat","Depot, Kanpur",7.3,11400,2026-08-03,2026-08-06,2026-08-06,,Delivered
CN-90793,LR-8793,BKG-4518,TRP-2393,CUST-0195,VEH-024,EMP-0021,BR-015,Kolkata,Pune,"Gate 1, Kolkata","Warehouse, Pune",12.8,24800,2026-08-10,2026-08-12,2026-08-12,,Delivered
CN-90794,LR-8794,BKG-4519,TRP-2394,CUST-0038,VEH-059,EMP-0046,BR-005,Indore,Raipur,"Gate 3, Indore","Warehouse, Raipur",5.8,7900,2026-08-10,2026-08-14,2026-08-14,,Delivered
CN-90795,LR-8795,BKG-4520,TRP-2395,CUST-0203,VEH-032,EMP-0039,BR-008,Surat,Kanpur,"Gate 5, Surat","Depot, Kanpur",9.6,14200,2026-07-28,2026-08-02,2026-08-02,,Delivered
CN-90796,LR-8796,BKG-4521,TRP-2396,CUST-0082,VEH-014,EMP-0002,BR-012,Lucknow,Hyderabad,"Gate 2, Lucknow","Warehouse, Hyderabad",24.5,34800,2026-07-23,2026-07-25,2026-07-25,,Delivered
CN-90797,LR-8797,BKG-4522,TRP-2397,CUST-0063,VEH-034,EMP-0033,BR-016,Bengaluru,Kanpur,"Gate 1, Bengaluru","Depot, Kanpur",14.6,27300,2026-08-13,2026-08-17,2026-08-17,,Delivered
CN-90798,LR-8798,BKG-4523,TRP-2398,CUST-0146,VEH-034,EMP-0025,BR-013,Ahmedabad,Morbi,"Gate 3, Ahmedabad","Godown, Morbi",12.6,9500,2026-07-24,2026-07-28,2026-07-28,,Delivered
CN-90799,LR-8799,BKG-4524,TRP-2399,CUST-0152,VEH-050,EMP-0022,BR-017,Gurugram,Surat,"Gate 3, Gurugram","Godown, Surat",10.8,15200,2026-08-28,2026-09-01,,,In Prep
CN-90800,LR-8800,BKG-4525,TRP-2400,CUST-0096,VEH-058,EMP-0013,BR-010,Nashik,Jaipur,"Gate 4, Nashik","Warehouse, Jaipur",13.6,17100,2026-07-07,2026-07-10,2026-07-10,,Delivered
CN-90801,LR-8801,BKG-4526,TRP-2401,CUST-0136,VEH-038,EMP-0043,BR-010,Nashik,Kanpur,"Gate 3, Nashik","Depot, Kanpur",11.6,16800,2026-07-14,2026-07-17,2026-07-17,,Delivered
CN-90802,LR-8802,BKG-4527,TRP-2402,CUST-0047,VEH-028,EMP-0047,BR-007,Jaipur,Lucknow,"Gate 2, Jaipur","Warehouse, Lucknow",13.6,13900,2026-07-20,2026-07-25,2026-07-25,,Delivered
CN-90803,LR-8803,BKG-4528,TRP-2403,CUST-0048,VEH-017,EMP-0014,BR-005,Indore,Raipur,"Gate 2, Indore","Warehouse, Raipur",6.3,8300,2026-08-18,2026-08-20,2026-08-20,,Delivered
CN-90804,LR-8804,BKG-4529,TRP-2404,CUST-0100,VEH-025,EMP-0047,BR-007,Jaipur,Surat,"Gate 4, Jaipur","Depot, Surat",10.7,13200,2026-08-24,2026-08-29,2026-08-29,,Delivered
CN-90805,LR-8805,BKG-4530,TRP-2405,CUST-0152,VEH-017,EMP-0014,BR-017,Gurugram,Nashik,"Gate 3, Gurugram","Depot, Nashik",4.2,7700,2026-08-21,2026-08-25,,,Dispatched
CN-90806,LR-8806,BKG-4531,TRP-2406,CUST-0056,VEH-006,EMP-0005,BR-005,Indore,Bhopal,"Gate 3, Indore","Depot, Bhopal",14.9,10600,2026-08-03,2026-08-07,2026-08-07,,Delivered
CN-90807,LR-8807,BKG-4532,TRP-2407,CUST-0080,VEH-045,EMP-0029,BR-012,Lucknow,Bhopal,"Gate 6, Lucknow","Depot, Bhopal",24.2,23200,2026-08-16,2026-08-18,2026-08-18,,Delivered
CN-90808,LR-8808,BKG-4533,TRP-2408,CUST-0083,VEH-012,EMP-0010,BR-009,Kanpur,Kolkata,"Gate 2, Kanpur","Godown, Kolkata",4.5,7800,2026-08-11,2026-08-15,2026-08-15,,Delivered
CN-90809,LR-8809,BKG-4534,TRP-2409,CUST-0013,VEH-008,EMP-0011,BR-012,Lucknow,Mumbai,"Gate 1, Lucknow","Godown, Mumbai",8.8,15000,2026-08-18,2026-08-22,2026-08-22,,Delivered
CN-90810,LR-8810,BKG-4535,TRP-2410,CUST-0063,VEH-019,EMP-0024,BR-016,Bengaluru,Kanpur,"Gate 1, Bengaluru","Warehouse, Kanpur",16.2,30000,2026-08-07,2026-08-09,2026-08-09,,Delivered
CN-90811,LR-8811,BKG-4537,TRP-2411,CUST-0206,VEH-023,EMP-0023,BR-011,Bhopal,Nashik,"Gate 2, Bhopal","Warehouse, Nashik",10.5,11400,2026-07-20,2026-07-24,2026-07-24,,Delivered
CN-90812,LR-8812,BKG-4538,TRP-2412,CUST-0103,VEH-009,EMP-0019,BR-011,Bhopal,Lucknow,"Gate 5, Bhopal","Godown, Lucknow",19.1,18800,2026-08-22,2026-08-26,2026-08-26,,Delivered
CN-90813,LR-8813,BKG-4539,TRP-2413,CUST-0170,VEH-028,EMP-0013,BR-014,Hyderabad,Bengaluru,"Gate 2, Hyderabad","Warehouse, Bengaluru",13.9,14000,2026-07-25,2026-07-30,2026-07-30,,Delivered
CN-90814,LR-8814,BKG-4540,TRP-2414,CUST-0064,VEH-049,EMP-0017,BR-010,Nashik,Bhopal,"Gate 1, Nashik","Warehouse, Bhopal",19.6,19000,2026-07-25,2026-07-29,2026-07-29,,Delivered
CN-90815,LR-8815,BKG-4541,TRP-2415,CUST-0105,VEH-047,EMP-0038,BR-001,Nagpur,Delhi,"Gate 5, Nagpur","Warehouse, Delhi",16.5,21100,2026-08-08,2026-08-12,2026-08-12,,Delivered
CN-90816,LR-8816,BKG-4542,TRP-2416,CUST-0180,VEH-036,EMP-0048,BR-008,Surat,Raipur,"Gate 4, Surat","Godown, Raipur",29.7,37400,2026-08-28,2026-08-30,,,In Prep
